{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 66750.4915964659, 'tax': '4325.05'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 36101.202468787254, 'tax': '960.12'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 73722.31724227227, 'tax': '5322.23'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 85246.43604203846, 'tax': '6174.64'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 87054.2080252089, 'tax': '7105.42'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 87626.39771952103, 'tax': '6862.64'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 21790.213900346775, 'tax': '879.02'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 56620.78995673175, 'tax': '4062.08'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 95588.14675825284, 'tax': '7708.81'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 39587.50578365241, 'tax': '1808.75'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 47648.735766674756, 'tax': '3214.87'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 78175.69189206883, 'tax': '5967.57'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 92605.12430706837, 'tax': '8160.51'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 74830.60708078586, 'tax': '6083.06'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 75341.42440874838, 'tax': '6734.14'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'urban', 'EDUCATION': False, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 88696.5373800873, 'tax': '7769.65'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 35252.23379643455, 'tax': '975.22'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 30961.541314959228, 'tax': '246.15'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 54466.1730875292, 'tax': '3196.62'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': True, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 31149.520737286046, 'tax': '564.95'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 74677.15081483877, 'tax': '5667.72'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 94848.28522318606, 'tax': '7384.83'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 85570.05150002883, 'tax': '7057.01'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': True, 'HEALTHCARE': False, 'GREEN_INITIATIVES': False, 'PROPERTY_STATUS': 'rents', 'CHILD': [], 'money': 39769.62640058556, 'tax': '2176.96'}
{'INCOME': 'low', 'MARITAL_STATUS': 'single', 'SPECIAL_NEEDS': False, 'ELDERLY_CARE': True, 'TAXPAYER_DURATION': 'new', 'CITY_CATEGORY': 'suburban', 'EDUCATION': False, 'HEALTHCARE': True, 'GREEN_INITIATIVES': True, 'PROPERTY_STATUS': 'owns', 'CHILD': [], 'money': 19601.636665139904, 'tax': '0.00'}
